record_id,event_id,event_name,weather_type,weather_subtype,warning_type,warning_level,warning_issued_at,event_start_datetime,event_end_datetime,observation_datetime,recovery_datetime,district,subdistrict,location_name,address_or_segment,entity_type,entity_name,line_or_route,direction,disruption_type,disruption_description,quantitative_value,quantitative_unit,baseline_value,severity_ordinal,service_status_before,service_status_during,service_status_after,affected_population_description,temporary_measure,recovery_description,record_valid_from,record_valid_to,current_status,geocode_lat,geocode_lon,coordinate_system,coordinate_method,geocode_confidence,primary_source_id,fact_status,record_confidence,created_at,updated_at,evidence_quote
wtd_0fccabd3d3da20,evt_e2df7f8802f2c8,2020道路积水改善工程,heavy_rain,,,,,,,2020-05-20,,静安区,,中心城区道路积水路段,,road,中心城区道路积水路段,,,capacity_reduction,官方通知称部分路段暴雨时出现道路积水，安排道路积水改善工程。,,,,2,,disrupted,recovered,,,,2020-05-20,,historical,,,,,,src_03285eab743d,observed,high,2026-07-12T09:22:40+08:00,2026-07-12T09:22:40+08:00,暴雨来临时部分路段会出现道路积水。
wtd_ac2281a537541c,evt_e2df7f8802f2c8,2020道路积水改善工程,heavy_rain,,,,,,,2020-05-20,,徐汇区,,中心城区道路积水路段,,road,中心城区道路积水路段,,,waterlogging,官方通知将徐汇列为道路积水改善工程相关区。,,,,2,,disrupted,recovered,,,,2020-05-20,,historical,,,,,,src_03285eab743d,observed,high,2026-07-12T09:22:40+08:00,2026-07-12T09:22:40+08:00,暴雨来临时部分路段会出现道路积水。
wtd_1b3d1d2bdec973,evt_e2df7f8802f2c8,2020道路积水改善工程,heavy_rain,,,,,,,2020-05-20,,普陀区,,中心城区道路积水路段,,road,中心城区道路积水路段,,,waterlogging,官方通知将普陀列为道路积水改善工程相关区。,,,,2,,disrupted,recovered,,,,2020-05-20,,historical,,,,,,src_03285eab743d,observed,high,2026-07-12T09:22:40+08:00,2026-07-12T09:22:40+08:00,暴雨来临时部分路段会出现道路积水。
wtd_8a62ff00b3d568,evt_e2df7f8802f2c8,2020道路积水改善工程,heavy_rain,,,,,,,2020-05-20,,虹口区,,中心城区道路积水路段,,road,中心城区道路积水路段,,,waterlogging,官方通知将虹口列为道路积水改善工程相关区。,,,,2,,disrupted,recovered,,,,2020-05-20,,historical,,,,,,src_03285eab743d,observed,high,2026-07-12T09:22:40+08:00,2026-07-12T09:22:40+08:00,暴雨来临时部分路段会出现道路积水。
wtd_1e7bc4c6f30bf0,evt_e2df7f8802f2c8,2020道路积水改善工程,heavy_rain,,,,,,,2020-05-20,,宝山区,,中心城区道路积水路段,,road,中心城区道路积水路段,,,waterlogging,官方通知将宝山列为道路积水改善工程相关区。,,,,2,,disrupted,recovered,,,,2020-05-20,,historical,,,,,,src_03285eab743d,observed,high,2026-07-12T09:22:40+08:00,2026-07-12T09:22:40+08:00,暴雨来临时部分路段会出现道路积水。
wtd_164e0dcc0488aa,evt_e2df7f8802f2c8,2020道路积水改善工程,heavy_rain,,,,,,,2020-05-20,,闵行区,,中心城区道路积水路段,,road,中心城区道路积水路段,,,waterlogging,官方通知将闵行列为道路积水改善工程相关区。,,,,2,,disrupted,recovered,,,,2020-05-20,,historical,,,,,,src_03285eab743d,observed,high,2026-07-12T09:22:40+08:00,2026-07-12T09:22:40+08:00,暴雨来临时部分路段会出现道路积水。
wtd_5ad576f2310562,evt_0b60408a6753dc,2022年5月轨道运营调整,other,,,,,,,2022-05-10,,浦东新区,,上海地铁6号线,,metro_line,上海地铁6号线,,,metro_service_change,上海市交通委发布6号线和16号线全线停止运营服务。,,,,4,,disrupted,recovered,,,,2022-05-10,,historical,,,,,,src_ac51213c7136,observed,high,2026-07-12T09:22:40+08:00,2026-07-12T09:22:40+08:00,上海地铁6号线和16号线全线停止运营服务。
wtd_961c9ac8468fb6,evt_0b60408a6753dc,2022年5月轨道运营调整,other,,,,,,,2022-05-10,,浦东新区,,上海地铁16号线,,metro_line,上海地铁16号线,,,metro_service_change,上海市交通委发布6号线和16号线全线停止运营服务。,,,,4,,disrupted,recovered,,,,2022-05-10,,historical,,,,,,src_ac51213c7136,observed,high,2026-07-12T09:22:40+08:00,2026-07-12T09:22:40+08:00,上海地铁6号线和16号线全线停止运营服务。
wtd_7af4500a09a9f9,evt_cf9e609fadb917,2022年6月公共交通恢复,other,,,,,,,2022-05-31,,浦东新区,,2号线淞虹路站以西区段,,metro_line,2号线淞虹路站以西区段,,,metro_service_change,公共交通恢复公告明确该区段待方舱取消后再行恢复。,,,,2,,disrupted,recovered,,,,2022-05-31,,historical,,,,,,src_35ba77340f09,observed,high,2026-07-12T09:22:40+08:00,2026-07-12T09:22:40+08:00,
wtd_ee350688a54c06,evt_d05b058270597a,松江防汛防台应急,compound_weather,,,,,,,2022-06-01,,松江区,,下立交及道路交通,,underpass,下立交及道路交通,,,traffic_control,预案明确台风暴雨影响期间落实下立交积水限行、封路等措施。,,,,2,,disrupted,recovered,,,,2022-06-01,,historical,,,,,,src_ee94e39effbb,observed,high,2026-07-12T09:22:40+08:00,2026-07-12T09:22:40+08:00,
wtd_ed51f04fef207a,evt_d05b058270597a,松江防汛防台应急,compound_weather,,,,,,,2022-06-01,,松江区,,交通枢纽及道路,,rail_hub,交通枢纽及道路,,,capacity_reduction,预案规定大量旅客滞留时组织运能快速疏散。,,,,2,,disrupted,recovered,,,,2022-06-01,,historical,,,,,,src_ee94e39effbb,observed,high,2026-07-12T09:22:40+08:00,2026-07-12T09:22:40+08:00,
wtd_9d0b658d690e08,evt_171c522fbd91e9,2020中心城区道路积水改善工程,heavy_rain,,,,,,,2020-05-20,,普陀区,,万镇路（梅川路-金沙江路）,,road,万镇路（梅川路-金沙江路）,,,waterlogging,官方工程表将万镇路（梅川路-金沙江路）列为2020年道路积水改善项目，投资2572万元、主管长度960米。,960.0,pipeline_meters,,2,,disrupted,recovered,,,,2020-05-20,,historical,,,,,,src_03285eab743d,observed,high,2026-07-12T09:22:40+08:00,2026-07-12T09:22:40+08:00,暴雨来临时部分路段会出现道路积水。
wtd_9e1a362dd6d87e,evt_171c522fbd91e9,2020中心城区道路积水改善工程,heavy_rain,,,,,,,2020-05-20,,普陀区,,花家浜路（棕榈路-香樟路）,,road,花家浜路（棕榈路-香樟路）,,,waterlogging,官方工程表将花家浜路（棕榈路-香樟路）列为2020年道路积水改善项目，投资412万元、主管长度250米。,250.0,pipeline_meters,,2,,disrupted,recovered,,,,2020-05-20,,historical,,,,,,src_03285eab743d,observed,high,2026-07-12T09:22:40+08:00,2026-07-12T09:22:40+08:00,暴雨来临时部分路段会出现道路积水。
wtd_b1a31219498015,evt_171c522fbd91e9,2020中心城区道路积水改善工程,heavy_rain,,,,,,,2020-05-20,,静安区,,洛川路（泾惠路-沪太路）,,road,洛川路（泾惠路-沪太路）,,,waterlogging,官方工程表将洛川路（泾惠路-沪太路）列为2020年道路积水改善项目，投资3430万元、主管长度1022米。,1022.0,pipeline_meters,,2,,disrupted,recovered,,,,2020-05-20,,historical,,,,,,src_03285eab743d,observed,high,2026-07-12T09:22:40+08:00,2026-07-12T09:22:40+08:00,暴雨来临时部分路段会出现道路积水。
wtd_a33df5c7c326ca,evt_171c522fbd91e9,2020中心城区道路积水改善工程,heavy_rain,,,,,,,2020-05-20,,静安区,,和田路（柳营路-洛川东路）,,road,和田路（柳营路-洛川东路）,,,waterlogging,官方工程表将和田路（柳营路-洛川东路）列为2020年道路积水改善项目，投资1079万元、主管长度372米。,372.0,pipeline_meters,,2,,disrupted,recovered,,,,2020-05-20,,historical,,,,,,src_03285eab743d,observed,high,2026-07-12T09:22:40+08:00,2026-07-12T09:22:40+08:00,暴雨来临时部分路段会出现道路积水。
wtd_0bd1f36d1c91f7,evt_171c522fbd91e9,2020中心城区道路积水改善工程,heavy_rain,,,,,,,2020-05-20,,静安区,,保德路（共和新路-平顺路）,,road,保德路（共和新路-平顺路）,,,waterlogging,官方工程表将保德路（共和新路-平顺路）列为2020年道路积水改善项目，投资1273万元、主管长度735米。,735.0,pipeline_meters,,2,,disrupted,recovered,,,,2020-05-20,,historical,,,,,,src_03285eab743d,observed,high,2026-07-12T09:22:40+08:00,2026-07-12T09:22:40+08:00,暴雨来临时部分路段会出现道路积水。
wtd_2780975265385e,evt_171c522fbd91e9,2020中心城区道路积水改善工程,heavy_rain,,,,,,,2020-05-20,,静安区,,中华新路（共和新路-西藏北路）,,road,中华新路（共和新路-西藏北路）,,,waterlogging,官方工程表将中华新路（共和新路-西藏北路）列为2020年道路积水改善项目，投资1154万元、主管长度463米。,463.0,pipeline_meters,,2,,disrupted,recovered,,,,2020-05-20,,historical,,,,,,src_03285eab743d,observed,high,2026-07-12T09:22:40+08:00,2026-07-12T09:22:40+08:00,暴雨来临时部分路段会出现道路积水。
wtd_5e52e4a14bdbfb,evt_171c522fbd91e9,2020中心城区道路积水改善工程,heavy_rain,,,,,,,2020-05-20,,徐汇区,,宋园路（古羊路-红松路）,,road,宋园路（古羊路-红松路）,,,waterlogging,官方工程表将宋园路（古羊路-红松路）列为2020年道路积水改善项目，投资881万元、主管长度310米。,310.0,pipeline_meters,,2,,disrupted,recovered,,,,2020-05-20,,historical,,,,,,src_03285eab743d,observed,high,2026-07-12T09:22:40+08:00,2026-07-12T09:22:40+08:00,暴雨来临时部分路段会出现道路积水。
wtd_9d4c039c5c8511,evt_171c522fbd91e9,2020中心城区道路积水改善工程,heavy_rain,,,,,,,2020-05-20,,徐汇区,,武康路（华山路-安福路）,,road,武康路（华山路-安福路）,,,waterlogging,官方工程表将武康路（华山路-安福路）列为2020年道路积水改善项目，投资211万元、主管长度100米。,100.0,pipeline_meters,,2,,disrupted,recovered,,,,2020-05-20,,historical,,,,,,src_03285eab743d,observed,high,2026-07-12T09:22:40+08:00,2026-07-12T09:22:40+08:00,暴雨来临时部分路段会出现道路积水。
wtd_161ee89c3a1998,evt_171c522fbd91e9,2020中心城区道路积水改善工程,heavy_rain,,,,,,,2020-05-20,,宝山区,,环镇北路（桃浦河-南陈路）,,road,环镇北路（桃浦河-南陈路）,,,waterlogging,官方工程表将环镇北路（桃浦河-南陈路）列为2020年道路积水改善项目，投资405万元、主管长度222米。,222.0,pipeline_meters,,2,,disrupted,recovered,,,,2020-05-20,,historical,,,,,,src_03285eab743d,observed,high,2026-07-12T09:22:40+08:00,2026-07-12T09:22:40+08:00,暴雨来临时部分路段会出现道路积水。
wtd_9b6e835b5aeb3e,evt_171c522fbd91e9,2020中心城区道路积水改善工程,heavy_rain,,,,,,,2020-05-20,,闵行区,,翠钰南路（古羊路-红松路）,,road,翠钰南路（古羊路-红松路）,,,waterlogging,官方工程表将翠钰南路（古羊路-红松路）列为2020年道路积水改善项目，投资1226万元、主管长度350米。,350.0,pipeline_meters,,2,,disrupted,recovered,,,,2020-05-20,,historical,,,,,,src_03285eab743d,observed,high,2026-07-12T09:22:40+08:00,2026-07-12T09:22:40+08:00,暴雨来临时部分路段会出现道路积水。
wtd_f1dfb83e5e07ed,evt_171c522fbd91e9,2020中心城区道路积水改善工程,heavy_rain,,,,,,,2020-05-20,,虹口区,,舟山路（东余杭路-唐山路）,,road,舟山路（东余杭路-唐山路）,,,waterlogging,官方工程表将舟山路（东余杭路-唐山路）列为2020年道路积水改善项目，投资1003万元、主管长度194米。,194.0,pipeline_meters,,2,,disrupted,recovered,,,,2020-05-20,,historical,,,,,,src_03285eab743d,observed,high,2026-07-12T09:22:40+08:00,2026-07-12T09:22:40+08:00,暴雨来临时部分路段会出现道路积水。
wtdx_132208b410b1e6,evtx_cb0618ded83e3e,上海市奉贤区人民政府办公室关于印发《上海市奉贤区气象服务保障“十四五”规划》的通知,heavy_rain,,,,,,,2020-08-05,,奉贤区,,,,road,,,,waterlogging,2020年8月5日降水量176.9毫米，为2010年以来最大值，当日全区有近66个点位出现道路积水，对城市平稳运行造成威胁,66.0,road_waterlogging_points,,3,,,,,,,2020-08-05,,unknown,,,,,,src_6cd3338fb726,observed,medium,2026-07-12T09:22:40+08:00,2026-07-12T09:22:40+08:00,2020年8月5日降水量176.9毫米，为2010年以来最大值，当日全区有近66个点位出现道路积水，对城市平稳运行造成威胁
