seed,policy,weather_scenario,day_type,group,agent_count,coupon_reached,coupon_participated,coupon_awarded,coupon_redeemed,coupon_induced_requests,coupon_subsidy_yuan,ride_hailing_requests,successful_ride_hailing_requests,failed_ride_hailing_requests,mean_ride_hailing_wait_minutes_per_request,fallback_attempts,transport_unmet,mandatory_activity_incomplete,necessary_activity_completion_rate,walking_legs,bus_legs,metro_legs,ride_hailing_legs,total_outdoor_exposure_minutes,total_heat_risk_burden
47,C0_no_coupon,W0,workday,18-39,20,0,0,0,0,0,0.0,5,5,0,9.7334,0,0,0,1.0,1,15,21,5,894.737,0.0
47,C0_no_coupon,W0,workday,40-59,17,0,0,0,0,0,0.0,0,0,0,0.0,0,0,1,0.9375,0,19,14,0,639.245,0.0
47,C0_no_coupon,W0,workday,60+_digital,6,0,0,0,0,0,0.0,1,1,0,11.0,0,0,0,1.0,0,10,0,1,189.728,0.0
47,C0_no_coupon,W0,workday,60+_nondigital_assisted,7,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,10,1,0,182.456,0.0
47,C0_no_coupon,W0,workday,60+_nondigital_unassisted,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,0,0,0,0,0,0
47,C0_no_coupon,W2,workday,18-39,20,0,0,0,0,0,0.0,8,8,0,9.41675,0,0,0,1.0,1,6,25,8,895.533,0.0
47,C0_no_coupon,W2,workday,40-59,17,0,0,0,0,0,0.0,4,4,0,10.95775,0,0,0,1.0,0,6,23,4,742.826,0.0
47,C0_no_coupon,W2,workday,60+_digital,6,0,0,0,0,0,0.0,1,1,0,11.0,0,0,0,1.0,0,10,0,1,189.728,0.0
47,C0_no_coupon,W2,workday,60+_nondigital_assisted,7,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,8,3,0,204.7,0.0
47,C0_no_coupon,W2,workday,60+_nondigital_unassisted,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,0,0,0,0,0,0
47,C1_public_limited,W0,workday,18-39,20,20,15,5,3,0,14.8,5,5,0,9.7334,0,0,0,1.0,1,15,21,5,894.737,0.0
47,C1_public_limited,W0,workday,40-59,17,17,11,5,0,0,0.0,0,0,0,0.0,0,0,1,0.9375,0,19,14,0,639.245,0.0
47,C1_public_limited,W0,workday,60+_digital,6,6,3,0,0,0,0.0,1,1,0,11.0,0,0,0,1.0,0,10,0,1,189.728,0.0
47,C1_public_limited,W0,workday,60+_nondigital_assisted,7,7,3,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,10,1,0,182.456,0.0
47,C1_public_limited,W0,workday,60+_nondigital_unassisted,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,0,0,0,0,0,0
47,C1_public_limited,W2,workday,18-39,20,20,15,5,4,2,25.23,10,10,0,9.8467,0,0,0,1.0,1,5,24,10,856.994,0.0
47,C1_public_limited,W2,workday,40-59,17,17,11,5,2,0,10.54,4,4,0,10.95775,0,0,0,1.0,0,6,23,4,742.826,0.0
47,C1_public_limited,W2,workday,60+_digital,6,6,3,0,0,0,0.0,1,1,0,11.0,0,0,0,1.0,0,10,0,1,189.728,0.0
47,C1_public_limited,W2,workday,60+_nondigital_assisted,7,7,3,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,8,3,0,204.7,0.0
47,C1_public_limited,W2,workday,60+_nondigital_unassisted,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,0,0,0,0,0,0
47,C2_elder_limited,W0,workday,18-39,20,0,0,0,0,0,0.0,5,5,0,9.7334,0,0,0,1.0,1,15,21,5,894.737,0.0
47,C2_elder_limited,W0,workday,40-59,17,0,0,0,0,0,0.0,0,0,0,0.0,0,0,1,0.9375,0,19,14,0,639.245,0.0
47,C2_elder_limited,W0,workday,60+_digital,6,6,0,5,1,0,4.11,1,1,0,11.0,0,0,0,1.0,0,10,0,1,189.728,0.0
47,C2_elder_limited,W0,workday,60+_nondigital_assisted,7,7,0,5,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,10,1,0,182.456,0.0
47,C2_elder_limited,W0,workday,60+_nondigital_unassisted,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,0,0,0,0,0,0
47,C2_elder_limited,W2,workday,18-39,20,0,0,0,0,0,0.0,8,8,0,9.41675,0,0,0,1.0,1,6,25,8,895.533,0.0
47,C2_elder_limited,W2,workday,40-59,17,0,0,0,0,0,0.0,4,4,0,10.95775,0,0,0,1.0,0,6,23,4,742.826,0.0
47,C2_elder_limited,W2,workday,60+_digital,6,6,0,5,1,0,4.11,1,1,0,11.0,0,0,0,1.0,0,10,0,1,189.728,0.0
47,C2_elder_limited,W2,workday,60+_nondigital_assisted,7,7,0,5,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,8,3,0,204.7,0.0
47,C2_elder_limited,W2,workday,60+_nondigital_unassisted,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,0,0,0,0,0,0
47,C3_mixed,W0,workday,18-39,20,20,15,3,2,0,9.5,5,5,0,9.7334,0,0,0,1.0,1,15,21,5,894.737,0.0
47,C3_mixed,W0,workday,40-59,17,17,11,4,0,0,0.0,0,0,0,0.0,0,0,1,0.9375,0,19,14,0,639.245,0.0
47,C3_mixed,W0,workday,60+_digital,6,6,3,1,0,0,0.0,1,1,0,11.0,0,0,0,1.0,0,10,0,1,189.728,0.0
47,C3_mixed,W0,workday,60+_nondigital_assisted,7,7,3,2,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,10,1,0,182.456,0.0
47,C3_mixed,W0,workday,60+_nondigital_unassisted,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,0,0,0,0,0,0
47,C3_mixed,W2,workday,18-39,20,20,15,3,3,2,19.93,10,10,0,9.8467,0,0,0,1.0,1,5,24,10,856.994,0.0
47,C3_mixed,W2,workday,40-59,17,17,11,4,1,0,5.24,4,4,0,10.95775,0,0,0,1.0,0,6,23,4,742.826,0.0
47,C3_mixed,W2,workday,60+_digital,6,6,3,1,0,0,0.0,1,1,0,11.0,0,0,0,1.0,0,10,0,1,189.728,0.0
47,C3_mixed,W2,workday,60+_nondigital_assisted,7,7,3,2,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,8,3,0,204.7,0.0
47,C3_mixed,W2,workday,60+_nondigital_unassisted,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,0,0,0,0,0,0
48,C0_no_coupon,W0,workday,18-39,20,0,0,0,0,0,0.0,2,2,0,8.0,0,0,0,1.0,3,18,23,2,1044.495,0.0
48,C0_no_coupon,W0,workday,40-59,17,0,0,0,0,0,0.0,1,1,0,8.0,0,0,1,0.9375,0,21,12,1,666.08,0.0
48,C0_no_coupon,W0,workday,60+_digital,6,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,5,1,0,87.968,0.0
48,C0_no_coupon,W0,workday,60+_nondigital_assisted,5,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,8,0,0,162.214,0.0
48,C0_no_coupon,W0,workday,60+_nondigital_unassisted,2,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,1,3,0,93.131,0.0
48,C0_no_coupon,W2,workday,18-39,20,0,0,0,0,0,0.0,6,5,1,10.277667,1,0,0,1.0,2,8,31,5,1137.643,0.0
48,C0_no_coupon,W2,workday,40-59,17,0,0,0,0,0,0.0,3,3,0,13.259,0,0,0,1.0,0,11,19,3,745.886,0.0
48,C0_no_coupon,W2,workday,60+_digital,6,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,5,1,0,88.3,0.0
48,C0_no_coupon,W2,workday,60+_nondigital_assisted,5,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,7,1,0,173.385,0.0
48,C0_no_coupon,W2,workday,60+_nondigital_unassisted,2,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,1,3,0,93.131,0.0
48,C1_public_limited,W0,workday,18-39,20,20,16,4,3,3,32.95,5,5,0,7.5,0,0,0,1.0,3,16,22,5,997.495,0.0
48,C1_public_limited,W0,workday,40-59,17,17,14,4,1,1,14.43,2,1,1,17.35,1,0,0,1.0,0,21,12,1,685.746,0.0
48,C1_public_limited,W0,workday,60+_digital,6,6,1,1,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,5,1,0,87.968,0.0
48,C1_public_limited,W0,workday,60+_nondigital_assisted,5,5,2,1,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,8,0,0,162.214,0.0
48,C1_public_limited,W0,workday,60+_nondigital_unassisted,2,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,1,3,0,93.131,0.0
48,C1_public_limited,W2,workday,18-39,20,20,16,4,3,2,27.76,8,8,0,8.291625,0,0,0,1.0,2,7,29,8,1067.453,0.0
48,C1_public_limited,W2,workday,40-59,17,17,14,4,1,1,14.43,4,3,1,14.94425,1,0,1,0.9375,0,11,19,3,766.686,0.0
48,C1_public_limited,W2,workday,60+_digital,6,6,1,1,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,5,1,0,88.3,0.0
48,C1_public_limited,W2,workday,60+_nondigital_assisted,5,5,2,1,1,1,7.63,1,1,0,14.667,0,0,0,1.0,0,6,1,1,170.338,0.0
48,C1_public_limited,W2,workday,60+_nondigital_unassisted,2,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,1,3,0,93.131,0.0
48,C2_elder_limited,W0,workday,18-39,20,0,0,0,0,0,0.0,2,2,0,8.0,0,0,0,1.0,3,18,23,2,1044.495,0.0
48,C2_elder_limited,W0,workday,40-59,17,0,0,0,0,0,0.0,1,1,0,8.0,0,0,1,0.9375,0,21,12,1,666.08,0.0
48,C2_elder_limited,W0,workday,60+_digital,6,6,0,6,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,5,1,0,87.968,0.0
48,C2_elder_limited,W0,workday,60+_nondigital_assisted,5,5,0,4,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,8,0,0,162.214,0.0
48,C2_elder_limited,W0,workday,60+_nondigital_unassisted,2,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,1,3,0,93.131,0.0
48,C2_elder_limited,W2,workday,18-39,20,0,0,0,0,0,0.0,6,5,1,10.277667,1,0,0,1.0,2,8,31,5,1137.643,0.0
48,C2_elder_limited,W2,workday,40-59,17,0,0,0,0,0,0.0,3,3,0,13.259,0,0,0,1.0,0,11,19,3,745.886,0.0
48,C2_elder_limited,W2,workday,60+_digital,6,6,0,6,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,5,1,0,88.3,0.0
48,C2_elder_limited,W2,workday,60+_nondigital_assisted,5,5,0,4,0,3,0.0,3,0,3,20.0,3,0,0,1.0,0,7,1,0,231.822,0.0
48,C2_elder_limited,W2,workday,60+_nondigital_unassisted,2,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,1,3,0,93.131,0.0
48,C3_mixed,W0,workday,18-39,20,20,16,3,2,2,20.44,4,4,0,7.5,0,0,0,1.0,3,17,22,4,1004.495,0.0
48,C3_mixed,W0,workday,40-59,17,17,14,3,0,0,0.0,1,0,1,20.0,1,0,1,0.9375,0,22,12,0,697.08,0.0
48,C3_mixed,W0,workday,60+_digital,6,6,1,2,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,5,1,0,87.968,0.0
48,C3_mixed,W0,workday,60+_nondigital_assisted,5,5,2,2,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,8,0,0,162.214,0.0
48,C3_mixed,W0,workday,60+_nondigital_unassisted,2,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,1,3,0,93.131,0.0
48,C3_mixed,W2,workday,18-39,20,20,16,3,2,2,15.25,8,8,0,8.291625,0,0,0,1.0,2,7,29,8,1067.453,0.0
48,C3_mixed,W2,workday,40-59,17,17,14,3,0,1,0.0,4,3,1,14.94425,1,0,1,0.9375,0,11,19,3,766.686,0.0
48,C3_mixed,W2,workday,60+_digital,6,6,1,2,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,5,1,0,88.3,0.0
48,C3_mixed,W2,workday,60+_nondigital_assisted,5,5,2,2,1,2,7.63,2,1,1,17.3335,1,0,0,1.0,0,6,1,1,189.053,0.0
48,C3_mixed,W2,workday,60+_nondigital_unassisted,2,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,1,3,0,93.131,0.0
49,C0_no_coupon,W0,workday,18-39,20,0,0,0,0,0,0.0,3,3,0,9.787,0,0,0,1.0,2,26,18,3,1042.321,0.0
49,C0_no_coupon,W0,workday,40-59,17,0,0,0,0,0,0.0,4,4,0,9.96175,0,0,1,0.9375,0,21,12,4,707.972,0.0
49,C0_no_coupon,W0,workday,60+_digital,6,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,10,2,0,215.869,0.0
49,C0_no_coupon,W0,workday,60+_nondigital_assisted,5,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,4,0,0,78.5,0.0
49,C0_no_coupon,W0,workday,60+_nondigital_unassisted,2,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,2,0,0,68.0,0.0
49,C0_no_coupon,W2,workday,18-39,20,0,0,0,0,0,0.0,9,4,5,15.391778,5,0,2,0.888889,1,21,21,4,1118.759,0.0
49,C0_no_coupon,W2,workday,40-59,17,0,0,0,0,0,0.0,6,6,0,13.1075,0,0,0,1.0,0,10,20,6,834.655,0.0
49,C0_no_coupon,W2,workday,60+_digital,6,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,10,2,0,215.869,0.0
49,C0_no_coupon,W2,workday,60+_nondigital_assisted,5,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,4,0,0,78.5,0.0
49,C0_no_coupon,W2,workday,60+_nondigital_unassisted,2,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,2,0,0,68.0,0.0
49,C1_public_limited,W0,workday,18-39,20,20,13,6,3,2,28.43,5,5,0,9.5788,0,0,0,1.0,2,24,18,5,1027.926,0.0
49,C1_public_limited,W0,workday,40-59,17,17,10,3,1,0,6.19,4,4,0,9.96175,0,0,1,0.9375,0,21,12,4,707.972,0.0
49,C1_public_limited,W0,workday,60+_digital,6,6,5,1,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,10,2,0,215.869,0.0
49,C1_public_limited,W0,workday,60+_nondigital_assisted,5,5,3,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,4,0,0,78.5,0.0
49,C1_public_limited,W0,workday,60+_nondigital_unassisted,2,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,2,0,0,68.0,0.0
49,C1_public_limited,W2,workday,18-39,20,20,13,6,3,0,28.43,9,4,5,15.391778,5,0,2,0.888889,1,21,21,4,1118.759,0.0
49,C1_public_limited,W2,workday,40-59,17,17,10,3,2,0,20.62,6,6,0,13.1075,0,0,0,1.0,0,10,20,6,834.655,0.0
49,C1_public_limited,W2,workday,60+_digital,6,6,5,1,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,10,2,0,215.869,0.0
49,C1_public_limited,W2,workday,60+_nondigital_assisted,5,5,3,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,4,0,0,78.5,0.0
49,C1_public_limited,W2,workday,60+_nondigital_unassisted,2,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,2,0,0,68.0,0.0
49,C2_elder_limited,W0,workday,18-39,20,0,0,0,0,0,0.0,3,3,0,9.787,0,0,0,1.0,2,26,18,3,1042.321,0.0
49,C2_elder_limited,W0,workday,40-59,17,0,0,0,0,0,0.0,4,4,0,9.96175,0,0,1,0.9375,0,21,12,4,707.972,0.0
49,C2_elder_limited,W0,workday,60+_digital,6,6,0,5,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,10,2,0,215.869,0.0
49,C2_elder_limited,W0,workday,60+_nondigital_assisted,5,5,0,5,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,4,0,0,78.5,0.0
49,C2_elder_limited,W0,workday,60+_nondigital_unassisted,2,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,2,0,0,68.0,0.0
49,C2_elder_limited,W2,workday,18-39,20,0,0,0,0,0,0.0,9,4,5,15.391778,5,0,2,0.888889,1,21,21,4,1118.759,0.0
49,C2_elder_limited,W2,workday,40-59,17,0,0,0,0,0,0.0,6,6,0,13.1075,0,0,0,1.0,0,10,20,6,834.655,0.0
49,C2_elder_limited,W2,workday,60+_digital,6,6,0,5,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,10,2,0,215.869,0.0
49,C2_elder_limited,W2,workday,60+_nondigital_assisted,5,5,0,5,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,4,0,0,78.5,0.0
49,C2_elder_limited,W2,workday,60+_nondigital_unassisted,2,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,2,0,0,68.0,0.0
49,C3_mixed,W0,workday,18-39,20,20,13,3,2,1,11.86,4,4,0,9.6735,0,0,0,1.0,2,25,18,4,1033.206,0.0
49,C3_mixed,W0,workday,40-59,17,17,10,3,1,0,6.19,4,4,0,9.96175,0,0,1,0.9375,0,21,12,4,707.972,0.0
49,C3_mixed,W0,workday,60+_digital,6,6,5,3,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,10,2,0,215.869,0.0
49,C3_mixed,W0,workday,60+_nondigital_assisted,5,5,3,1,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,4,0,0,78.5,0.0
49,C3_mixed,W0,workday,60+_nondigital_unassisted,2,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,2,0,0,68.0,0.0
49,C3_mixed,W2,workday,18-39,20,20,13,3,2,0,11.86,9,4,5,15.391778,5,0,2,0.888889,1,21,21,4,1118.759,0.0
49,C3_mixed,W2,workday,40-59,17,17,10,3,2,0,20.62,6,6,0,13.1075,0,0,0,1.0,0,10,20,6,834.655,0.0
49,C3_mixed,W2,workday,60+_digital,6,6,5,3,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,10,2,0,215.869,0.0
49,C3_mixed,W2,workday,60+_nondigital_assisted,5,5,3,1,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,4,0,0,78.5,0.0
49,C3_mixed,W2,workday,60+_nondigital_unassisted,2,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,2,0,0,68.0,0.0
50,C0_no_coupon,W0,workday,18-39,20,0,0,0,0,0,0.0,6,6,0,8.889,0,0,1,0.944444,1,15,28,6,1169.481,0.0
50,C0_no_coupon,W0,workday,40-59,17,0,0,0,0,0,0.0,1,1,0,10.0,0,0,0,1.0,0,21,13,1,689.534,0.0
50,C0_no_coupon,W0,workday,60+_digital,6,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,7,1,0,171.966,0.0
50,C0_no_coupon,W0,workday,60+_nondigital_assisted,6,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,9,1,0,166.514,0.0
50,C0_no_coupon,W0,workday,60+_nondigital_unassisted,1,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,2,1,0,59.0,0.0
50,C0_no_coupon,W2,workday,18-39,20,0,0,0,0,0,0.0,8,8,0,9.66675,0,0,1,0.944444,1,7,28,8,1074.551,0.0
50,C0_no_coupon,W2,workday,40-59,17,0,0,0,0,0,0.0,2,2,0,9.6665,0,0,0,1.0,0,10,20,2,707.917,0.0
50,C0_no_coupon,W2,workday,60+_digital,6,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,6,2,0,188.466,0.0
50,C0_no_coupon,W2,workday,60+_nondigital_assisted,6,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,8,2,0,174.572,0.0
50,C0_no_coupon,W2,workday,60+_nondigital_unassisted,1,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,2,1,0,59.0,0.0
50,C1_public_limited,W0,workday,18-39,20,20,16,7,4,2,23.77,8,8,0,9.276875,0,0,1,0.944444,1,13,28,8,1159.848,0.0
