seed,policy,weather_scenario,day_type,baseline_access_group,agent_count,policy_digital_agent_count,policy_assisted_agent_count,policy_proxy_agent_count,ride_hailing_requests,successful_ride_hailing_requests,failed_ride_hailing_requests,mean_ride_hailing_wait_minutes_per_request,fallback_attempts,transport_unmet,planned_necessary_activities,completed_necessary_activities,mandatory_activity_incomplete,necessary_activity_completion_rate,walking_legs,bus_legs,metro_legs,ride_hailing_legs,mean_total_travel_time,total_outdoor_exposure_minutes,total_heat_risk_burden
47,D0_baseline,W0,workday,18-39,20,20,0,0,5,5,0,9.7334,0,0,18,18,0,1.0,1,15,21,5,62.57369,894.737,0.0
47,D0_baseline,W0,workday,40-59,17,17,0,0,0,0,0,0.0,0,0,16,15,1,0.9375,0,19,14,0,70.055121,639.245,0.0
47,D0_baseline,W0,workday,elder_baseline_digital,6,6,5,0,1,1,0,11.0,0,0,1,1,0,1.0,0,10,0,1,49.971182,189.728,0.0
47,D0_baseline,W0,workday,elder_baseline_nondigital_assisted,7,0,7,0,0,0,0,0.0,0,0,3,3,0,1.0,0,10,1,0,56.266636,182.456,0.0
47,D0_baseline,W0,workday,elder_baseline_nondigital_unassisted,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1.0,0,0,0,0,0.0,0,0
47,D0_baseline,W2,workday,18-39,20,20,0,0,8,8,0,9.41675,0,0,18,18,0,1.0,1,6,25,8,63.2212,895.533,0.0
47,D0_baseline,W2,workday,40-59,17,17,0,0,4,4,0,10.95775,0,0,16,16,0,1.0,0,6,23,4,66.442364,742.826,0.0
47,D0_baseline,W2,workday,elder_baseline_digital,6,6,5,0,1,1,0,11.0,0,0,1,1,0,1.0,0,10,0,1,53.922,189.728,0.0
47,D0_baseline,W2,workday,elder_baseline_nondigital_assisted,7,0,7,0,0,0,0,0.0,0,0,3,3,0,1.0,0,8,3,0,59.049364,204.7,0.0
47,D0_baseline,W2,workday,elder_baseline_nondigital_unassisted,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1.0,0,0,0,0,0.0,0,0
47,D1_targeted_digital_training_75pct,W0,workday,18-39,20,20,0,0,5,5,0,9.7334,0,0,18,18,0,1.0,1,15,21,5,62.57369,894.737,0.0
47,D1_targeted_digital_training_75pct,W0,workday,40-59,17,17,0,0,0,0,0,0.0,0,0,16,15,1,0.9375,0,19,14,0,70.055121,639.245,0.0
47,D1_targeted_digital_training_75pct,W0,workday,elder_baseline_digital,6,6,5,0,1,1,0,11.0,0,0,1,1,0,1.0,0,10,0,1,49.971182,189.728,0.0
47,D1_targeted_digital_training_75pct,W0,workday,elder_baseline_nondigital_assisted,7,4,7,0,0,0,0,0.0,0,0,3,3,0,1.0,0,10,1,0,56.266636,182.456,0.0
47,D1_targeted_digital_training_75pct,W0,workday,elder_baseline_nondigital_unassisted,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1.0,0,0,0,0,0.0,0,0
47,D1_targeted_digital_training_75pct,W2,workday,18-39,20,20,0,0,8,8,0,9.41675,0,0,18,18,0,1.0,1,6,25,8,63.2212,895.533,0.0
47,D1_targeted_digital_training_75pct,W2,workday,40-59,17,17,0,0,4,4,0,10.95775,0,0,16,16,0,1.0,0,6,23,4,66.442364,742.826,0.0
47,D1_targeted_digital_training_75pct,W2,workday,elder_baseline_digital,6,6,5,0,1,1,0,11.0,0,0,1,1,0,1.0,0,10,0,1,53.922,189.728,0.0
47,D1_targeted_digital_training_75pct,W2,workday,elder_baseline_nondigital_assisted,7,4,7,0,0,0,0,0.0,0,0,3,3,0,1.0,0,8,3,0,59.049364,204.7,0.0
47,D1_targeted_digital_training_75pct,W2,workday,elder_baseline_nondigital_unassisted,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1.0,0,0,0,0,0.0,0,0
47,D2_family_assistance_90pct,W0,workday,18-39,20,20,0,0,5,5,0,9.7334,0,0,18,18,0,1.0,1,15,21,5,62.57369,894.737,0.0
47,D2_family_assistance_90pct,W0,workday,40-59,17,17,0,0,0,0,0,0.0,0,0,16,15,1,0.9375,0,19,14,0,70.055121,639.245,0.0
47,D2_family_assistance_90pct,W0,workday,elder_baseline_digital,6,6,5,0,1,1,0,11.0,0,0,1,1,0,1.0,0,10,0,1,49.971182,189.728,0.0
47,D2_family_assistance_90pct,W0,workday,elder_baseline_nondigital_assisted,7,0,7,0,0,0,0,0.0,0,0,3,3,0,1.0,0,10,1,0,56.266636,182.456,0.0
47,D2_family_assistance_90pct,W0,workday,elder_baseline_nondigital_unassisted,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1.0,0,0,0,0,0.0,0,0
47,D2_family_assistance_90pct,W2,workday,18-39,20,20,0,0,8,8,0,9.41675,0,0,18,18,0,1.0,1,6,25,8,63.2212,895.533,0.0
47,D2_family_assistance_90pct,W2,workday,40-59,17,17,0,0,4,4,0,10.95775,0,0,16,16,0,1.0,0,6,23,4,66.442364,742.826,0.0
47,D2_family_assistance_90pct,W2,workday,elder_baseline_digital,6,6,5,0,1,1,0,11.0,0,0,1,1,0,1.0,0,10,0,1,53.922,189.728,0.0
47,D2_family_assistance_90pct,W2,workday,elder_baseline_nondigital_assisted,7,0,7,0,0,0,0,0.0,0,0,3,3,0,1.0,0,8,3,0,59.049364,204.7,0.0
47,D2_family_assistance_90pct,W2,workday,elder_baseline_nondigital_unassisted,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1.0,0,0,0,0,0.0,0,0
47,D3_universal_elder_digital_access,W0,workday,18-39,20,20,0,0,5,5,0,9.7334,0,0,18,18,0,1.0,1,15,21,5,62.57369,894.737,0.0
47,D3_universal_elder_digital_access,W0,workday,40-59,17,17,0,0,0,0,0,0.0,0,0,16,15,1,0.9375,0,19,14,0,70.055121,639.245,0.0
47,D3_universal_elder_digital_access,W0,workday,elder_baseline_digital,6,6,5,0,1,1,0,11.0,0,0,1,1,0,1.0,0,10,0,1,49.971182,189.728,0.0
47,D3_universal_elder_digital_access,W0,workday,elder_baseline_nondigital_assisted,7,7,7,0,0,0,0,0.0,0,0,3,3,0,1.0,0,10,1,0,56.266636,182.456,0.0
47,D3_universal_elder_digital_access,W0,workday,elder_baseline_nondigital_unassisted,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1.0,0,0,0,0,0.0,0,0
47,D3_universal_elder_digital_access,W2,workday,18-39,20,20,0,0,8,8,0,9.41675,0,0,18,18,0,1.0,1,6,25,8,63.2212,895.533,0.0
47,D3_universal_elder_digital_access,W2,workday,40-59,17,17,0,0,4,4,0,10.95775,0,0,16,16,0,1.0,0,6,23,4,66.442364,742.826,0.0
47,D3_universal_elder_digital_access,W2,workday,elder_baseline_digital,6,6,5,0,1,1,0,11.0,0,0,1,1,0,1.0,0,10,0,1,53.922,189.728,0.0
47,D3_universal_elder_digital_access,W2,workday,elder_baseline_nondigital_assisted,7,7,7,0,0,0,0,0.0,0,0,3,3,0,1.0,0,8,3,0,59.049364,204.7,0.0
47,D3_universal_elder_digital_access,W2,workday,elder_baseline_nondigital_unassisted,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1.0,0,0,0,0,0.0,0,0
47,D4_limited_community_phone_25pct,W0,workday,18-39,20,20,0,0,5,5,0,9.7334,0,0,18,18,0,1.0,1,15,21,5,62.57369,894.737,0.0
47,D4_limited_community_phone_25pct,W0,workday,40-59,17,17,0,0,0,0,0,0.0,0,0,16,15,1,0.9375,0,19,14,0,70.055121,639.245,0.0
47,D4_limited_community_phone_25pct,W0,workday,elder_baseline_digital,6,6,5,0,1,1,0,11.0,0,0,1,1,0,1.0,0,10,0,1,49.971182,189.728,0.0
47,D4_limited_community_phone_25pct,W0,workday,elder_baseline_nondigital_assisted,7,0,7,0,0,0,0,0.0,0,0,3,3,0,1.0,0,10,1,0,56.266636,182.456,0.0
47,D4_limited_community_phone_25pct,W0,workday,elder_baseline_nondigital_unassisted,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1.0,0,0,0,0,0.0,0,0
47,D4_limited_community_phone_25pct,W2,workday,18-39,20,20,0,0,8,8,0,9.41675,0,0,18,18,0,1.0,1,6,25,8,63.2212,895.533,0.0
47,D4_limited_community_phone_25pct,W2,workday,40-59,17,17,0,0,4,4,0,10.95775,0,0,16,16,0,1.0,0,6,23,4,66.442364,742.826,0.0
47,D4_limited_community_phone_25pct,W2,workday,elder_baseline_digital,6,6,5,0,1,1,0,11.0,0,0,1,1,0,1.0,0,10,0,1,53.922,189.728,0.0
47,D4_limited_community_phone_25pct,W2,workday,elder_baseline_nondigital_assisted,7,0,7,0,0,0,0,0.0,0,0,3,3,0,1.0,0,8,3,0,59.049364,204.7,0.0
47,D4_limited_community_phone_25pct,W2,workday,elder_baseline_nondigital_unassisted,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1.0,0,0,0,0,0.0,0,0
48,D0_baseline,W0,workday,18-39,20,20,0,0,2,2,0,8.0,0,0,18,18,0,1.0,3,18,23,2,68.942739,1044.495,0.0
48,D0_baseline,W0,workday,40-59,17,17,0,0,1,1,0,8.0,0,0,16,15,1,0.9375,0,21,12,1,69.645265,666.08,0.0
48,D0_baseline,W0,workday,elder_baseline_digital,6,6,3,0,0,0,0,0.0,0,0,2,2,0,1.0,0,5,1,0,56.264,87.968,0.0
48,D0_baseline,W0,workday,elder_baseline_nondigital_assisted,5,0,5,0,0,0,0,0.0,0,0,1,1,0,1.0,0,8,0,0,70.335625,162.214,0.0
48,D0_baseline,W0,workday,elder_baseline_nondigital_unassisted,2,0,0,0,0,0,0,0.0,0,0,1,1,0,1.0,0,1,3,0,78.1,93.131,0.0
48,D0_baseline,W2,workday,18-39,20,20,0,0,6,5,1,10.277667,1,0,18,18,0,1.0,2,8,31,5,67.575609,1137.643,0.0
48,D0_baseline,W2,workday,40-59,17,17,0,0,3,3,0,13.259,0,0,16,16,0,1.0,0,11,19,3,69.780879,745.886,0.0
48,D0_baseline,W2,workday,elder_baseline_digital,6,6,3,0,0,0,0,0.0,0,0,2,2,0,1.0,0,5,1,0,62.149167,88.3,0.0
48,D0_baseline,W2,workday,elder_baseline_nondigital_assisted,5,0,5,0,0,0,0,0.0,0,0,1,1,0,1.0,0,7,1,0,75.52925,173.385,0.0
48,D0_baseline,W2,workday,elder_baseline_nondigital_unassisted,2,0,0,0,0,0,0,0.0,0,0,1,1,0,1.0,0,1,3,0,80.7485,93.131,0.0
48,D1_targeted_digital_training_75pct,W0,workday,18-39,20,20,0,0,2,2,0,8.0,0,0,18,18,0,1.0,3,18,23,2,68.942739,1044.495,0.0
48,D1_targeted_digital_training_75pct,W0,workday,40-59,17,17,0,0,1,1,0,8.0,0,0,16,15,1,0.9375,0,21,12,1,69.645265,666.08,0.0
48,D1_targeted_digital_training_75pct,W0,workday,elder_baseline_digital,6,6,3,0,0,0,0,0.0,0,0,2,2,0,1.0,0,5,1,0,56.264,87.968,0.0
48,D1_targeted_digital_training_75pct,W0,workday,elder_baseline_nondigital_assisted,5,3,5,0,0,0,0,0.0,0,0,1,1,0,1.0,0,8,0,0,70.335625,162.214,0.0
48,D1_targeted_digital_training_75pct,W0,workday,elder_baseline_nondigital_unassisted,2,1,0,0,0,0,0,0.0,0,0,1,1,0,1.0,0,1,3,0,78.1,93.131,0.0
48,D1_targeted_digital_training_75pct,W2,workday,18-39,20,20,0,0,6,5,1,10.277667,1,0,18,18,0,1.0,2,8,31,5,67.575609,1137.643,0.0
48,D1_targeted_digital_training_75pct,W2,workday,40-59,17,17,0,0,3,3,0,13.259,0,0,16,16,0,1.0,0,11,19,3,69.780879,745.886,0.0
48,D1_targeted_digital_training_75pct,W2,workday,elder_baseline_digital,6,6,3,0,0,0,0,0.0,0,0,2,2,0,1.0,0,5,1,0,62.149167,88.3,0.0
48,D1_targeted_digital_training_75pct,W2,workday,elder_baseline_nondigital_assisted,5,3,5,0,0,0,0,0.0,0,0,1,1,0,1.0,0,7,1,0,75.52925,173.385,0.0
48,D1_targeted_digital_training_75pct,W2,workday,elder_baseline_nondigital_unassisted,2,1,0,0,0,0,0,0.0,0,0,1,1,0,1.0,0,1,3,0,80.7485,93.131,0.0
48,D2_family_assistance_90pct,W0,workday,18-39,20,20,0,0,2,2,0,8.0,0,0,18,18,0,1.0,3,18,23,2,68.942739,1044.495,0.0
48,D2_family_assistance_90pct,W0,workday,40-59,17,17,0,0,1,1,0,8.0,0,0,16,15,1,0.9375,0,21,12,1,69.645265,666.08,0.0
48,D2_family_assistance_90pct,W0,workday,elder_baseline_digital,6,6,6,0,0,0,0,0.0,0,0,2,2,0,1.0,0,5,1,0,56.264,87.968,0.0
48,D2_family_assistance_90pct,W0,workday,elder_baseline_nondigital_assisted,5,0,5,0,0,0,0,0.0,0,0,1,1,0,1.0,0,8,0,0,70.335625,162.214,0.0
48,D2_family_assistance_90pct,W0,workday,elder_baseline_nondigital_unassisted,2,0,1,0,0,0,0,0.0,0,0,1,1,0,1.0,0,1,3,0,78.1,93.131,0.0
48,D2_family_assistance_90pct,W2,workday,18-39,20,20,0,0,6,5,1,10.277667,1,0,18,18,0,1.0,2,8,31,5,67.575609,1137.643,0.0
48,D2_family_assistance_90pct,W2,workday,40-59,17,17,0,0,3,3,0,13.259,0,0,16,16,0,1.0,0,11,19,3,69.780879,745.886,0.0
48,D2_family_assistance_90pct,W2,workday,elder_baseline_digital,6,6,6,0,0,0,0,0.0,0,0,2,2,0,1.0,0,5,1,0,62.149167,88.3,0.0
48,D2_family_assistance_90pct,W2,workday,elder_baseline_nondigital_assisted,5,0,5,0,0,0,0,0.0,0,0,1,1,0,1.0,0,7,1,0,75.52925,173.385,0.0
48,D2_family_assistance_90pct,W2,workday,elder_baseline_nondigital_unassisted,2,0,1,0,0,0,0,0.0,0,0,1,1,0,1.0,0,1,3,0,80.7485,93.131,0.0
48,D3_universal_elder_digital_access,W0,workday,18-39,20,20,0,0,2,2,0,8.0,0,0,18,18,0,1.0,3,18,23,2,68.942739,1044.495,0.0
48,D3_universal_elder_digital_access,W0,workday,40-59,17,17,0,0,1,1,0,8.0,0,0,16,15,1,0.9375,0,21,12,1,69.645265,666.08,0.0
48,D3_universal_elder_digital_access,W0,workday,elder_baseline_digital,6,6,3,0,0,0,0,0.0,0,0,2,2,0,1.0,0,5,1,0,56.264,87.968,0.0
48,D3_universal_elder_digital_access,W0,workday,elder_baseline_nondigital_assisted,5,5,5,0,0,0,0,0.0,0,0,1,1,0,1.0,0,8,0,0,70.335625,162.214,0.0
48,D3_universal_elder_digital_access,W0,workday,elder_baseline_nondigital_unassisted,2,2,0,0,0,0,0,0.0,0,0,1,1,0,1.0,0,1,3,0,78.1,93.131,0.0
48,D3_universal_elder_digital_access,W2,workday,18-39,20,20,0,0,6,5,1,10.277667,1,0,18,18,0,1.0,2,8,31,5,67.575609,1137.643,0.0
48,D3_universal_elder_digital_access,W2,workday,40-59,17,17,0,0,3,3,0,13.259,0,0,16,16,0,1.0,0,11,19,3,69.780879,745.886,0.0
48,D3_universal_elder_digital_access,W2,workday,elder_baseline_digital,6,6,3,0,0,0,0,0.0,0,0,2,2,0,1.0,0,5,1,0,62.149167,88.3,0.0
48,D3_universal_elder_digital_access,W2,workday,elder_baseline_nondigital_assisted,5,5,5,0,0,0,0,0.0,0,0,1,1,0,1.0,0,7,1,0,75.52925,173.385,0.0
48,D3_universal_elder_digital_access,W2,workday,elder_baseline_nondigital_unassisted,2,2,0,0,0,0,0,0.0,0,0,1,1,0,1.0,0,1,3,0,80.7485,93.131,0.0
48,D4_limited_community_phone_25pct,W0,workday,18-39,20,20,0,0,2,2,0,8.0,0,0,18,18,0,1.0,3,18,23,2,68.942739,1044.495,0.0
48,D4_limited_community_phone_25pct,W0,workday,40-59,17,17,0,0,1,1,0,8.0,0,0,16,15,1,0.9375,0,21,12,1,69.645265,666.08,0.0
48,D4_limited_community_phone_25pct,W0,workday,elder_baseline_digital,6,6,3,0,0,0,0,0.0,0,0,2,2,0,1.0,0,5,1,0,56.264,87.968,0.0
48,D4_limited_community_phone_25pct,W0,workday,elder_baseline_nondigital_assisted,5,0,5,0,0,0,0,0.0,0,0,1,1,0,1.0,0,8,0,0,70.335625,162.214,0.0
48,D4_limited_community_phone_25pct,W0,workday,elder_baseline_nondigital_unassisted,2,0,0,0,0,0,0,0.0,0,0,1,1,0,1.0,0,1,3,0,78.1,93.131,0.0
48,D4_limited_community_phone_25pct,W2,workday,18-39,20,20,0,0,6,5,1,10.277667,1,0,18,18,0,1.0,2,8,31,5,67.575609,1137.643,0.0
48,D4_limited_community_phone_25pct,W2,workday,40-59,17,17,0,0,3,3,0,13.259,0,0,16,16,0,1.0,0,11,19,3,69.780879,745.886,0.0
48,D4_limited_community_phone_25pct,W2,workday,elder_baseline_digital,6,6,3,0,0,0,0,0.0,0,0,2,2,0,1.0,0,5,1,0,62.149167,88.3,0.0
48,D4_limited_community_phone_25pct,W2,workday,elder_baseline_nondigital_assisted,5,0,5,0,0,0,0,0.0,0,0,1,1,0,1.0,0,7,1,0,75.52925,173.385,0.0
48,D4_limited_community_phone_25pct,W2,workday,elder_baseline_nondigital_unassisted,2,0,0,0,0,0,0,0.0,0,0,1,1,0,1.0,0,1,3,0,80.7485,93.131,0.0
49,D0_baseline,W0,workday,18-39,20,20,0,0,3,3,0,9.787,0,0,18,18,0,1.0,2,26,18,3,58.147367,1042.321,0.0
49,D0_baseline,W0,workday,40-59,17,17,0,0,4,4,0,9.96175,0,0,16,15,1,0.9375,0,21,12,4,72.986,707.972,0.0
49,D0_baseline,W0,workday,elder_baseline_digital,6,6,4,0,0,0,0,0.0,0,0,1,1,0,1.0,0,10,2,0,59.249167,215.869,0.0
49,D0_baseline,W0,workday,elder_baseline_nondigital_assisted,5,0,5,0,0,0,0,0.0,0,0,1,1,0,1.0,0,4,0,0,66.42575,78.5,0.0
49,D0_baseline,W0,workday,elder_baseline_nondigital_unassisted,2,0,0,0,0,0,0,0.0,0,0,0,0,0,1.0,0,2,0,0,55.0285,68.0,0.0
49,D0_baseline,W2,workday,18-39,20,20,0,0,9,4,5,15.391778,5,0,18,16,2,0.888889,1,21,21,4,61.52983,1118.759,0.0
49,D0_baseline,W2,workday,40-59,17,17,0,0,6,6,0,13.1075,0,0,16,16,0,1.0,0,10,20,6,77.210556,834.655,0.0
49,D0_baseline,W2,workday,elder_baseline_digital,6,6,4,0,0,0,0,0.0,0,0,1,1,0,1.0,0,10,2,0,62.828083,215.869,0.0
49,D0_baseline,W2,workday,elder_baseline_nondigital_assisted,5,0,5,0,0,0,0,0.0,0,0,1,1,0,1.0,0,4,0,0,72.09575,78.5,0.0
49,D0_baseline,W2,workday,elder_baseline_nondigital_unassisted,2,0,0,0,0,0,0,0.0,0,0,0,0,0,1.0,0,2,0,0,56.205,68.0,0.0
49,D1_targeted_digital_training_75pct,W0,workday,18-39,20,20,0,0,3,3,0,9.787,0,0,18,18,0,1.0,2,26,18,3,58.147367,1042.321,0.0
49,D1_targeted_digital_training_75pct,W0,workday,40-59,17,17,0,0,4,4,0,9.96175,0,0,16,15,1,0.9375,0,21,12,4,72.986,707.972,0.0
49,D1_targeted_digital_training_75pct,W0,workday,elder_baseline_digital,6,6,4,0,0,0,0,0.0,0,0,1,1,0,1.0,0,10,2,0,59.249167,215.869,0.0
49,D1_targeted_digital_training_75pct,W0,workday,elder_baseline_nondigital_assisted,5,3,5,0,0,0,0,0.0,0,0,1,1,0,1.0,0,4,0,0,66.42575,78.5,0.0
49,D1_targeted_digital_training_75pct,W0,workday,elder_baseline_nondigital_unassisted,2,1,0,0,0,0,0,0.0,0,0,0,0,0,1.0,0,2,0,0,55.0285,68.0,0.0
49,D1_targeted_digital_training_75pct,W2,workday,18-39,20,20,0,0,9,4,5,15.391778,5,0,18,16,2,0.888889,1,21,21,4,61.52983,1118.759,0.0
49,D1_targeted_digital_training_75pct,W2,workday,40-59,17,17,0,0,6,6,0,13.1075,0,0,16,16,0,1.0,0,10,20,6,77.210556,834.655,0.0
49,D1_targeted_digital_training_75pct,W2,workday,elder_baseline_digital,6,6,4,0,0,0,0,0.0,0,0,1,1,0,1.0,0,10,2,0,62.828083,215.869,0.0
49,D1_targeted_digital_training_75pct,W2,workday,elder_baseline_nondigital_assisted,5,3,5,0,0,0,0,0.0,0,0,1,1,0,1.0,0,4,0,0,72.09575,78.5,0.0
49,D1_targeted_digital_training_75pct,W2,workday,elder_baseline_nondigital_unassisted,2,1,0,0,0,0,0,0.0,0,0,0,0,0,1.0,0,2,0,0,56.205,68.0,0.0
49,D2_family_assistance_90pct,W0,workday,18-39,20,20,0,0,3,3,0,9.787,0,0,18,18,0,1.0,2,26,18,3,58.147367,1042.321,0.0
49,D2_family_assistance_90pct,W0,workday,40-59,17,17,0,0,4,4,0,9.96175,0,0,16,15,1,0.9375,0,21,12,4,72.986,707.972,0.0
49,D2_family_assistance_90pct,W0,workday,elder_baseline_digital,6,6,6,0,0,0,0,0.0,0,0,1,1,0,1.0,0,10,2,0,59.249167,215.869,0.0
