seed,policy,weather_scenario,day_type,baseline_access_group,agent_count,policy_digital_agent_count,policy_assisted_agent_count,policy_proxy_agent_count,ride_hailing_requests,successful_ride_hailing_requests,failed_ride_hailing_requests,mean_ride_hailing_wait_minutes_per_request,fallback_attempts,transport_unmet,planned_necessary_activities,completed_necessary_activities,mandatory_activity_incomplete,necessary_activity_completion_rate,walking_legs,bus_legs,metro_legs,ride_hailing_legs,mean_total_travel_time,total_outdoor_exposure_minutes,total_heat_risk_burden
49,D2_family_assistance_90pct,W0,workday,elder_baseline_nondigital_assisted,5,0,5,0,0,0,0,0.0,0,0,1,1,0,1.0,0,4,0,0,66.42575,78.5,0.0
49,D2_family_assistance_90pct,W0,workday,elder_baseline_nondigital_unassisted,2,0,1,0,0,0,0,0.0,0,0,0,0,0,1.0,0,2,0,0,55.0285,68.0,0.0
49,D2_family_assistance_90pct,W2,workday,18-39,20,20,0,0,9,4,5,15.391778,5,0,18,16,2,0.888889,1,21,21,4,61.52983,1118.759,0.0
49,D2_family_assistance_90pct,W2,workday,40-59,17,17,0,0,6,6,0,13.1075,0,0,16,16,0,1.0,0,10,20,6,77.210556,834.655,0.0
49,D2_family_assistance_90pct,W2,workday,elder_baseline_digital,6,6,6,0,0,0,0,0.0,0,0,1,1,0,1.0,0,10,2,0,62.828083,215.869,0.0
49,D2_family_assistance_90pct,W2,workday,elder_baseline_nondigital_assisted,5,0,5,0,0,0,0,0.0,0,0,1,1,0,1.0,0,4,0,0,72.09575,78.5,0.0
49,D2_family_assistance_90pct,W2,workday,elder_baseline_nondigital_unassisted,2,0,1,0,0,0,0,0.0,0,0,0,0,0,1.0,0,2,0,0,56.205,68.0,0.0
49,D3_universal_elder_digital_access,W0,workday,18-39,20,20,0,0,3,3,0,9.787,0,0,18,18,0,1.0,2,26,18,3,58.147367,1042.321,0.0
49,D3_universal_elder_digital_access,W0,workday,40-59,17,17,0,0,4,4,0,9.96175,0,0,16,15,1,0.9375,0,21,12,4,72.986,707.972,0.0
49,D3_universal_elder_digital_access,W0,workday,elder_baseline_digital,6,6,4,0,0,0,0,0.0,0,0,1,1,0,1.0,0,10,2,0,59.249167,215.869,0.0
49,D3_universal_elder_digital_access,W0,workday,elder_baseline_nondigital_assisted,5,5,5,0,0,0,0,0.0,0,0,1,1,0,1.0,0,4,0,0,66.42575,78.5,0.0
49,D3_universal_elder_digital_access,W0,workday,elder_baseline_nondigital_unassisted,2,2,0,0,0,0,0,0.0,0,0,0,0,0,1.0,0,2,0,0,55.0285,68.0,0.0
49,D3_universal_elder_digital_access,W2,workday,18-39,20,20,0,0,9,4,5,15.391778,5,0,18,16,2,0.888889,1,21,21,4,61.52983,1118.759,0.0
49,D3_universal_elder_digital_access,W2,workday,40-59,17,17,0,0,6,6,0,13.1075,0,0,16,16,0,1.0,0,10,20,6,77.210556,834.655,0.0
49,D3_universal_elder_digital_access,W2,workday,elder_baseline_digital,6,6,4,0,0,0,0,0.0,0,0,1,1,0,1.0,0,10,2,0,62.828083,215.869,0.0
49,D3_universal_elder_digital_access,W2,workday,elder_baseline_nondigital_assisted,5,5,5,0,0,0,0,0.0,0,0,1,1,0,1.0,0,4,0,0,72.09575,78.5,0.0
49,D3_universal_elder_digital_access,W2,workday,elder_baseline_nondigital_unassisted,2,2,0,0,0,0,0,0.0,0,0,0,0,0,1.0,0,2,0,0,56.205,68.0,0.0
49,D4_limited_community_phone_25pct,W0,workday,18-39,20,20,0,0,3,3,0,9.787,0,0,18,18,0,1.0,2,26,18,3,58.147367,1042.321,0.0
49,D4_limited_community_phone_25pct,W0,workday,40-59,17,17,0,0,4,4,0,9.96175,0,0,16,15,1,0.9375,0,21,12,4,72.986,707.972,0.0
49,D4_limited_community_phone_25pct,W0,workday,elder_baseline_digital,6,6,4,0,0,0,0,0.0,0,0,1,1,0,1.0,0,10,2,0,59.249167,215.869,0.0
49,D4_limited_community_phone_25pct,W0,workday,elder_baseline_nondigital_assisted,5,0,5,0,0,0,0,0.0,0,0,1,1,0,1.0,0,4,0,0,66.42575,78.5,0.0
49,D4_limited_community_phone_25pct,W0,workday,elder_baseline_nondigital_unassisted,2,0,0,0,0,0,0,0.0,0,0,0,0,0,1.0,0,2,0,0,55.0285,68.0,0.0
49,D4_limited_community_phone_25pct,W2,workday,18-39,20,20,0,0,9,4,5,15.391778,5,0,18,16,2,0.888889,1,21,21,4,61.52983,1118.759,0.0
49,D4_limited_community_phone_25pct,W2,workday,40-59,17,17,0,0,6,6,0,13.1075,0,0,16,16,0,1.0,0,10,20,6,77.210556,834.655,0.0
49,D4_limited_community_phone_25pct,W2,workday,elder_baseline_digital,6,6,4,0,0,0,0,0.0,0,0,1,1,0,1.0,0,10,2,0,62.828083,215.869,0.0
49,D4_limited_community_phone_25pct,W2,workday,elder_baseline_nondigital_assisted,5,0,5,0,0,0,0,0.0,0,0,1,1,0,1.0,0,4,0,0,72.09575,78.5,0.0
49,D4_limited_community_phone_25pct,W2,workday,elder_baseline_nondigital_unassisted,2,0,0,0,0,0,0,0.0,0,0,0,0,0,1.0,0,2,0,0,56.205,68.0,0.0
50,D0_baseline,W0,workday,18-39,20,20,0,0,6,6,0,8.889,0,0,18,17,1,0.944444,1,15,28,6,64.24758,1169.481,0.0
50,D0_baseline,W0,workday,40-59,17,17,0,0,1,1,0,10.0,0,0,16,16,0,1.0,0,21,13,1,67.070229,689.534,0.0
50,D0_baseline,W0,workday,elder_baseline_digital,6,6,4,0,0,0,0,0.0,0,0,0,0,0,1.0,0,7,1,0,61.0775,171.966,0.0
50,D0_baseline,W0,workday,elder_baseline_nondigital_assisted,6,0,6,0,0,0,0,0.0,0,0,0,0,0,1.0,0,9,1,0,46.1233,166.514,0.0
50,D0_baseline,W0,workday,elder_baseline_nondigital_unassisted,1,0,0,0,0,0,0,0.0,0,0,1,1,0,1.0,0,2,1,0,76.906333,59.0,0.0
50,D0_baseline,W2,workday,18-39,20,20,0,0,8,8,0,9.66675,0,0,18,17,1,0.944444,1,7,28,8,65.020023,1074.551,0.0
50,D0_baseline,W2,workday,40-59,17,17,0,0,2,2,0,9.6665,0,0,16,16,0,1.0,0,10,20,2,67.000687,707.917,0.0
50,D0_baseline,W2,workday,elder_baseline_digital,6,6,4,0,0,0,0,0.0,0,0,0,0,0,1.0,0,6,2,0,68.338,188.466,0.0
50,D0_baseline,W2,workday,elder_baseline_nondigital_assisted,6,0,6,0,0,0,0,0.0,0,0,0,0,0,1.0,0,8,2,0,47.9742,174.572,0.0
50,D0_baseline,W2,workday,elder_baseline_nondigital_unassisted,1,0,0,0,0,0,0,0.0,0,0,1,1,0,1.0,0,2,1,0,86.627333,59.0,0.0
50,D1_targeted_digital_training_75pct,W0,workday,18-39,20,20,0,0,6,6,0,8.889,0,0,18,17,1,0.944444,1,15,28,6,64.24758,1169.481,0.0
50,D1_targeted_digital_training_75pct,W0,workday,40-59,17,17,0,0,1,1,0,10.0,0,0,16,16,0,1.0,0,21,13,1,67.070229,689.534,0.0
50,D1_targeted_digital_training_75pct,W0,workday,elder_baseline_digital,6,6,4,0,0,0,0,0.0,0,0,0,0,0,1.0,0,7,1,0,61.0775,171.966,0.0
50,D1_targeted_digital_training_75pct,W0,workday,elder_baseline_nondigital_assisted,6,4,6,0,0,0,0,0.0,0,0,0,0,0,1.0,0,9,1,0,46.1233,166.514,0.0
50,D1_targeted_digital_training_75pct,W0,workday,elder_baseline_nondigital_unassisted,1,0,0,0,0,0,0,0.0,0,0,1,1,0,1.0,0,2,1,0,76.906333,59.0,0.0
50,D1_targeted_digital_training_75pct,W2,workday,18-39,20,20,0,0,8,8,0,9.66675,0,0,18,17,1,0.944444,1,7,28,8,65.020023,1074.551,0.0
50,D1_targeted_digital_training_75pct,W2,workday,40-59,17,17,0,0,2,2,0,9.6665,0,0,16,16,0,1.0,0,10,20,2,67.000687,707.917,0.0
50,D1_targeted_digital_training_75pct,W2,workday,elder_baseline_digital,6,6,4,0,0,0,0,0.0,0,0,0,0,0,1.0,0,6,2,0,68.338,188.466,0.0
50,D1_targeted_digital_training_75pct,W2,workday,elder_baseline_nondigital_assisted,6,4,6,0,0,0,0,0.0,0,0,0,0,0,1.0,0,8,2,0,47.9742,174.572,0.0
50,D1_targeted_digital_training_75pct,W2,workday,elder_baseline_nondigital_unassisted,1,0,0,0,0,0,0,0.0,0,0,1,1,0,1.0,0,2,1,0,86.627333,59.0,0.0
50,D2_family_assistance_90pct,W0,workday,18-39,20,20,0,0,6,6,0,8.889,0,0,18,17,1,0.944444,1,15,28,6,64.24758,1169.481,0.0
50,D2_family_assistance_90pct,W0,workday,40-59,17,17,0,0,1,1,0,10.0,0,0,16,16,0,1.0,0,21,13,1,67.070229,689.534,0.0
50,D2_family_assistance_90pct,W0,workday,elder_baseline_digital,6,6,6,0,0,0,0,0.0,0,0,0,0,0,1.0,0,7,1,0,61.0775,171.966,0.0
50,D2_family_assistance_90pct,W0,workday,elder_baseline_nondigital_assisted,6,0,6,0,0,0,0,0.0,0,0,0,0,0,1.0,0,9,1,0,46.1233,166.514,0.0
50,D2_family_assistance_90pct,W0,workday,elder_baseline_nondigital_unassisted,1,0,0,0,0,0,0,0.0,0,0,1,1,0,1.0,0,2,1,0,76.906333,59.0,0.0
50,D2_family_assistance_90pct,W2,workday,18-39,20,20,0,0,8,8,0,9.66675,0,0,18,17,1,0.944444,1,7,28,8,65.020023,1074.551,0.0
50,D2_family_assistance_90pct,W2,workday,40-59,17,17,0,0,2,2,0,9.6665,0,0,16,16,0,1.0,0,10,20,2,67.000687,707.917,0.0
50,D2_family_assistance_90pct,W2,workday,elder_baseline_digital,6,6,6,0,0,0,0,0.0,0,0,0,0,0,1.0,0,6,2,0,68.338,188.466,0.0
50,D2_family_assistance_90pct,W2,workday,elder_baseline_nondigital_assisted,6,0,6,0,0,0,0,0.0,0,0,0,0,0,1.0,0,8,2,0,47.9742,174.572,0.0
50,D2_family_assistance_90pct,W2,workday,elder_baseline_nondigital_unassisted,1,0,0,0,0,0,0,0.0,0,0,1,1,0,1.0,0,2,1,0,86.627333,59.0,0.0
50,D3_universal_elder_digital_access,W0,workday,18-39,20,20,0,0,6,6,0,8.889,0,0,18,17,1,0.944444,1,15,28,6,64.24758,1169.481,0.0
50,D3_universal_elder_digital_access,W0,workday,40-59,17,17,0,0,1,1,0,10.0,0,0,16,16,0,1.0,0,21,13,1,67.070229,689.534,0.0
50,D3_universal_elder_digital_access,W0,workday,elder_baseline_digital,6,6,4,0,0,0,0,0.0,0,0,0,0,0,1.0,0,7,1,0,61.0775,171.966,0.0
50,D3_universal_elder_digital_access,W0,workday,elder_baseline_nondigital_assisted,6,6,6,0,0,0,0,0.0,0,0,0,0,0,1.0,0,9,1,0,46.1233,166.514,0.0
50,D3_universal_elder_digital_access,W0,workday,elder_baseline_nondigital_unassisted,1,1,0,0,0,0,0,0.0,0,0,1,1,0,1.0,0,2,1,0,76.906333,59.0,0.0
50,D3_universal_elder_digital_access,W2,workday,18-39,20,20,0,0,8,8,0,9.66675,0,0,18,17,1,0.944444,1,7,28,8,65.020023,1074.551,0.0
50,D3_universal_elder_digital_access,W2,workday,40-59,17,17,0,0,2,2,0,9.6665,0,0,16,16,0,1.0,0,10,20,2,67.000687,707.917,0.0
50,D3_universal_elder_digital_access,W2,workday,elder_baseline_digital,6,6,4,0,0,0,0,0.0,0,0,0,0,0,1.0,0,6,2,0,68.338,188.466,0.0
50,D3_universal_elder_digital_access,W2,workday,elder_baseline_nondigital_assisted,6,6,6,0,0,0,0,0.0,0,0,0,0,0,1.0,0,8,2,0,47.9742,174.572,0.0
50,D3_universal_elder_digital_access,W2,workday,elder_baseline_nondigital_unassisted,1,1,0,0,0,0,0,0.0,0,0,1,1,0,1.0,0,2,1,0,86.627333,59.0,0.0
50,D4_limited_community_phone_25pct,W0,workday,18-39,20,20,0,0,6,6,0,8.889,0,0,18,17,1,0.944444,1,15,28,6,64.24758,1169.481,0.0
50,D4_limited_community_phone_25pct,W0,workday,40-59,17,17,0,0,1,1,0,10.0,0,0,16,16,0,1.0,0,21,13,1,67.070229,689.534,0.0
50,D4_limited_community_phone_25pct,W0,workday,elder_baseline_digital,6,6,4,0,0,0,0,0.0,0,0,0,0,0,1.0,0,7,1,0,61.0775,171.966,0.0
50,D4_limited_community_phone_25pct,W0,workday,elder_baseline_nondigital_assisted,6,0,6,0,0,0,0,0.0,0,0,0,0,0,1.0,0,9,1,0,46.1233,166.514,0.0
50,D4_limited_community_phone_25pct,W0,workday,elder_baseline_nondigital_unassisted,1,0,0,0,0,0,0,0.0,0,0,1,1,0,1.0,0,2,1,0,76.906333,59.0,0.0
50,D4_limited_community_phone_25pct,W2,workday,18-39,20,20,0,0,8,8,0,9.66675,0,0,18,17,1,0.944444,1,7,28,8,65.020023,1074.551,0.0
50,D4_limited_community_phone_25pct,W2,workday,40-59,17,17,0,0,2,2,0,9.6665,0,0,16,16,0,1.0,0,10,20,2,67.000687,707.917,0.0
50,D4_limited_community_phone_25pct,W2,workday,elder_baseline_digital,6,6,4,0,0,0,0,0.0,0,0,0,0,0,1.0,0,6,2,0,68.338,188.466,0.0
50,D4_limited_community_phone_25pct,W2,workday,elder_baseline_nondigital_assisted,6,0,6,0,0,0,0,0.0,0,0,0,0,0,1.0,0,8,2,0,47.9742,174.572,0.0
50,D4_limited_community_phone_25pct,W2,workday,elder_baseline_nondigital_unassisted,1,0,0,0,0,0,0,0.0,0,0,1,1,0,1.0,0,2,1,0,86.627333,59.0,0.0
51,D0_baseline,W0,workday,18-39,20,20,0,0,5,5,0,10.0002,0,0,18,17,1,0.944444,2,18,20,5,57.376911,956.093,0.0
51,D0_baseline,W0,workday,40-59,17,17,0,0,0,0,0,0.0,0,0,16,16,0,1.0,0,13,19,0,68.8695,743.694,0.0
51,D0_baseline,W0,workday,elder_baseline_digital,6,6,5,0,0,0,0,0.0,0,0,2,2,0,1.0,0,6,0,0,64.9735,82.58,0.0
51,D0_baseline,W0,workday,elder_baseline_nondigital_assisted,4,0,4,0,0,0,0,0.0,0,0,1,1,0,1.0,0,3,2,0,51.3158,103.714,0.0
51,D0_baseline,W0,workday,elder_baseline_nondigital_unassisted,3,0,0,0,0,0,0,0.0,0,0,0,0,0,1.0,0,2,0,0,31.229,44.0,0.0
51,D0_baseline,W2,workday,18-39,20,20,0,0,14,14,0,12.694034,0,0,18,17,1,0.944444,0,9,21,14,56.821273,864.607,0.0
51,D0_baseline,W2,workday,40-59,17,17,0,0,0,0,0,0.0,0,0,16,16,0,1.0,0,8,24,0,71.621406,818.213,0.0
51,D0_baseline,W2,workday,elder_baseline_digital,6,6,5,0,0,0,0,0.0,0,0,2,2,0,1.0,0,5,1,0,69.745333,96.94,0.0
51,D0_baseline,W2,workday,elder_baseline_nondigital_assisted,4,0,4,0,0,0,0,0.0,0,0,1,1,0,1.0,0,2,2,0,54.831,86.0,0.0
51,D0_baseline,W2,workday,elder_baseline_nondigital_unassisted,3,0,0,0,0,0,0,0.0,0,0,0,0,0,1.0,0,2,0,0,31.229,44.0,0.0
51,D1_targeted_digital_training_75pct,W0,workday,18-39,20,20,0,0,5,5,0,10.0002,0,0,18,17,1,0.944444,2,18,20,5,57.376911,956.093,0.0
51,D1_targeted_digital_training_75pct,W0,workday,40-59,17,17,0,0,0,0,0,0.0,0,0,16,16,0,1.0,0,13,19,0,68.8695,743.694,0.0
51,D1_targeted_digital_training_75pct,W0,workday,elder_baseline_digital,6,6,5,0,0,0,0,0.0,0,0,2,2,0,1.0,0,6,0,0,64.9735,82.58,0.0
51,D1_targeted_digital_training_75pct,W0,workday,elder_baseline_nondigital_assisted,4,2,4,0,0,0,0,0.0,0,0,1,1,0,1.0,0,3,2,0,51.3158,103.714,0.0
51,D1_targeted_digital_training_75pct,W0,workday,elder_baseline_nondigital_unassisted,3,2,0,0,0,0,0,0.0,0,0,0,0,0,1.0,0,2,0,0,31.229,44.0,0.0
51,D1_targeted_digital_training_75pct,W2,workday,18-39,20,20,0,0,14,14,0,12.694034,0,0,18,17,1,0.944444,0,9,21,14,56.821273,864.607,0.0
51,D1_targeted_digital_training_75pct,W2,workday,40-59,17,17,0,0,0,0,0,0.0,0,0,16,16,0,1.0,0,8,24,0,71.621406,818.213,0.0
51,D1_targeted_digital_training_75pct,W2,workday,elder_baseline_digital,6,6,5,0,0,0,0,0.0,0,0,2,2,0,1.0,0,5,1,0,69.745333,96.94,0.0
51,D1_targeted_digital_training_75pct,W2,workday,elder_baseline_nondigital_assisted,4,2,4,0,0,0,0,0.0,0,0,1,1,0,1.0,0,2,2,0,54.831,86.0,0.0
51,D1_targeted_digital_training_75pct,W2,workday,elder_baseline_nondigital_unassisted,3,2,0,0,0,0,0,0.0,0,0,0,0,0,1.0,0,2,0,0,31.229,44.0,0.0
51,D2_family_assistance_90pct,W0,workday,18-39,20,20,0,0,5,5,0,10.0002,0,0,18,17,1,0.944444,2,18,20,5,57.376911,956.093,0.0
51,D2_family_assistance_90pct,W0,workday,40-59,17,17,0,0,0,0,0,0.0,0,0,16,16,0,1.0,0,13,19,0,68.8695,743.694,0.0
51,D2_family_assistance_90pct,W0,workday,elder_baseline_digital,6,6,6,0,0,0,0,0.0,0,0,2,2,0,1.0,0,6,0,0,64.9735,82.58,0.0
51,D2_family_assistance_90pct,W0,workday,elder_baseline_nondigital_assisted,4,0,4,0,0,0,0,0.0,0,0,1,1,0,1.0,0,3,2,0,51.3158,103.714,0.0
51,D2_family_assistance_90pct,W0,workday,elder_baseline_nondigital_unassisted,3,0,2,0,0,0,0,0.0,0,0,0,0,0,1.0,0,2,0,0,31.229,44.0,0.0
51,D2_family_assistance_90pct,W2,workday,18-39,20,20,0,0,14,14,0,12.694034,0,0,18,17,1,0.944444,0,9,21,14,56.821273,864.607,0.0
51,D2_family_assistance_90pct,W2,workday,40-59,17,17,0,0,0,0,0,0.0,0,0,16,16,0,1.0,0,8,24,0,71.621406,818.213,0.0
51,D2_family_assistance_90pct,W2,workday,elder_baseline_digital,6,6,6,0,0,0,0,0.0,0,0,2,2,0,1.0,0,5,1,0,69.745333,96.94,0.0
51,D2_family_assistance_90pct,W2,workday,elder_baseline_nondigital_assisted,4,0,4,0,0,0,0,0.0,0,0,1,1,0,1.0,0,2,2,0,54.831,86.0,0.0
51,D2_family_assistance_90pct,W2,workday,elder_baseline_nondigital_unassisted,3,0,2,0,0,0,0,0.0,0,0,0,0,0,1.0,0,2,0,0,31.229,44.0,0.0
51,D3_universal_elder_digital_access,W0,workday,18-39,20,20,0,0,5,5,0,10.0002,0,0,18,17,1,0.944444,2,18,20,5,57.376911,956.093,0.0
51,D3_universal_elder_digital_access,W0,workday,40-59,17,17,0,0,0,0,0,0.0,0,0,16,16,0,1.0,0,13,19,0,68.8695,743.694,0.0
51,D3_universal_elder_digital_access,W0,workday,elder_baseline_digital,6,6,5,0,0,0,0,0.0,0,0,2,2,0,1.0,0,6,0,0,64.9735,82.58,0.0
51,D3_universal_elder_digital_access,W0,workday,elder_baseline_nondigital_assisted,4,4,4,0,0,0,0,0.0,0,0,1,1,0,1.0,0,3,2,0,51.3158,103.714,0.0
51,D3_universal_elder_digital_access,W0,workday,elder_baseline_nondigital_unassisted,3,3,0,0,0,0,0,0.0,0,0,0,0,0,1.0,0,2,0,0,31.229,44.0,0.0
51,D3_universal_elder_digital_access,W2,workday,18-39,20,20,0,0,14,14,0,12.694034,0,0,18,17,1,0.944444,0,9,21,14,56.821273,864.607,0.0
51,D3_universal_elder_digital_access,W2,workday,40-59,17,17,0,0,0,0,0,0.0,0,0,16,16,0,1.0,0,8,24,0,71.621406,818.213,0.0
51,D3_universal_elder_digital_access,W2,workday,elder_baseline_digital,6,6,5,0,0,0,0,0.0,0,0,2,2,0,1.0,0,5,1,0,69.745333,96.94,0.0
51,D3_universal_elder_digital_access,W2,workday,elder_baseline_nondigital_assisted,4,4,4,0,0,0,0,0.0,0,0,1,1,0,1.0,0,2,2,0,54.831,86.0,0.0
51,D3_universal_elder_digital_access,W2,workday,elder_baseline_nondigital_unassisted,3,3,0,0,0,0,0,0.0,0,0,0,0,0,1.0,0,2,0,0,31.229,44.0,0.0
51,D4_limited_community_phone_25pct,W0,workday,18-39,20,20,0,0,5,5,0,10.0002,0,0,18,17,1,0.944444,2,18,20,5,57.376911,956.093,0.0
51,D4_limited_community_phone_25pct,W0,workday,40-59,17,17,0,0,0,0,0,0.0,0,0,16,16,0,1.0,0,13,19,0,68.8695,743.694,0.0
51,D4_limited_community_phone_25pct,W0,workday,elder_baseline_digital,6,6,5,0,0,0,0,0.0,0,0,2,2,0,1.0,0,6,0,0,64.9735,82.58,0.0
51,D4_limited_community_phone_25pct,W0,workday,elder_baseline_nondigital_assisted,4,0,4,0,0,0,0,0.0,0,0,1,1,0,1.0,0,3,2,0,51.3158,103.714,0.0
51,D4_limited_community_phone_25pct,W0,workday,elder_baseline_nondigital_unassisted,3,0,0,0,0,0,0,0.0,0,0,0,0,0,1.0,0,2,0,0,31.229,44.0,0.0
51,D4_limited_community_phone_25pct,W2,workday,18-39,20,20,0,0,14,14,0,12.694034,0,0,18,17,1,0.944444,0,9,21,14,56.821273,864.607,0.0
51,D4_limited_community_phone_25pct,W2,workday,40-59,17,17,0,0,0,0,0,0.0,0,0,16,16,0,1.0,0,8,24,0,71.621406,818.213,0.0
51,D4_limited_community_phone_25pct,W2,workday,elder_baseline_digital,6,6,5,0,0,0,0,0.0,0,0,2,2,0,1.0,0,5,1,0,69.745333,96.94,0.0
51,D4_limited_community_phone_25pct,W2,workday,elder_baseline_nondigital_assisted,4,0,4,0,0,0,0,0.0,0,0,1,1,0,1.0,0,2,2,0,54.831,86.0,0.0
